protocol,optimizer,split_seed,phase,train_size,data_seed,model,dim,rank,parameters_per_identity,num_parameters,lr,init_seed,val_rmse,val_warm_fraction,test_rmse,test_warm_fraction
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,3,5,6,991423,0.01584893192461114,0,0.827024691637996,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,3,5,6,991423,0.01584893192461114,1,0.8277794115426622,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,3,5,6,991423,0.01584893192461114,2,0.8277897558011504,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,3,5,6,991423,0.01584893192461114,3,0.8282776623953628,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,3,5,6,991423,0.039810717055349734,0,0.8894609375120351,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,3,5,6,991423,0.039810717055349734,1,0.8887593501683074,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,3,5,6,991423,0.039810717055349734,2,0.8879355559011981,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,3,5,6,991423,0.039810717055349734,3,0.8901768255562269,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,3,5,6,991423,0.1,0,1.0479295236962236,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,3,5,6,991423,0.1,1,1.0474075484375405,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,3,5,6,991423,0.1,2,1.0488042744061694,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,3,5,6,991423,0.1,3,1.050601868565553,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.001,0,0.9281854980232788,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.001,1,0.9264251329248934,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.001,2,0.9292247809564824,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.001,3,0.9124392252937307,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.0025118864315095794,0,0.8770586556988852,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.0025118864315095794,1,0.8771709698645186,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.0025118864315095794,2,0.8780941400805806,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.0025118864315095794,3,0.8711669222612674,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.00630957344480193,0,0.858691675681255,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.00630957344480193,1,0.8601584402291985,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.00630957344480193,2,0.8591899059465082,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.00630957344480193,3,0.8598456479737511,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.01584893192461114,0,0.8637900156705801,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.01584893192461114,1,0.8660737571374044,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.01584893192461114,2,0.8643491631007921,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.01584893192461114,3,0.8606457251059343,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.039810717055349734,0,0.908859473585987,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.039810717055349734,1,0.9097058176751889,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.039810717055349734,2,0.9103161398428209,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.039810717055349734,3,0.9018505633559367,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.1,0,1.0177122914565968,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.1,1,1.0135445605258908,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.1,2,1.0135301609883802,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,3,0,6,991428,0.1,3,1.0142021238387566,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.001,0,0.8368973450063008,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.001,1,0.8335372353154041,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.001,2,0.8343241373020256,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.001,3,0.8354444332072041,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.0025118864315095794,0,0.8031522853901436,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.0025118864315095794,1,0.8024958857740021,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.0025118864315095794,2,0.8020869431693889,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.0025118864315095794,3,0.8036789588414631,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.00630957344480193,0,0.8004935969318342,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.00630957344480193,1,0.8006365313974136,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.00630957344480193,2,0.8004698759297348,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.00630957344480193,3,0.8009418988708801,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.01584893192461114,0,0.851922189955591,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.01584893192461114,1,0.8516996511061982,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.01584893192461114,2,0.8515537207647844,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.01584893192461114,3,0.8520644786534018,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.039810717055349734,0,1.0531000010153098,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.039810717055349734,1,1.0552129874290106,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.039810717055349734,2,1.0552633127685582,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.039810717055349734,3,1.0550159795282812,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.1,0,2.9193521424573765,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.1,1,2.906845780967438,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.1,2,2.904180595244477,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,fm,7,27,28,4626637,0.1,3,2.9245111804037665,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.001,0,0.9155386152220055,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.001,1,0.9162596778952437,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.001,2,0.9185358399735554,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.001,3,0.9154738203413544,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.0025118864315095794,0,0.8782531811091172,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.0025118864315095794,1,0.8784767538060794,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.0025118864315095794,2,0.8792071954887892,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.0025118864315095794,3,0.8784446127680554,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.00630957344480193,0,0.8699901817844738,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.00630957344480193,1,0.8702180656817717,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.00630957344480193,2,0.8729789972603409,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.00630957344480193,3,0.872085614668087,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.01584893192461114,0,0.9028454534271726,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.01584893192461114,1,0.9040909992325743,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.01584893192461114,2,0.9052136822199878,0.9999959825259969,,
one_pass_random_prefix,adam+sparseadam,0,tuning,15800000,0,spectral,7,0,28,4626664,0.01584893192461114,3,0.9036945079347537,0.9999959825259969,,
