protocol,optimizer,split_seed,phase,train_size,data_seed,model,dim,rank,parameters_per_identity,num_parameters,lr,init_seed,val_rmse,val_warm_fraction,test_rmse,test_warm_fraction
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,2,fm,3,5,6,991423,0.01,2,,,0.8612341440518604,0.9991649884810112
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,2,fm,3,5,6,991423,0.01,3,,,0.993639334619938,0.8484007977705871
one_pass_random_prefix,adam+sparseadam,0,evaluation,1048576,2,fm,3,5,6,991423,0.01,3,,,0.9174667717623919,0.9767947292443631
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,2,fm,3,5,6,991423,0.01,3,,,0.8590405159573742,0.9991649884810112
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,1,fm,7,27,28,4626637,0.01,2,,,0.9931176748699656,0.8484032223104216
one_pass_random_prefix,adam+sparseadam,0,evaluation,1048576,1,fm,7,27,28,4626637,0.01,2,,,0.9164048463315921,0.9762438737939733
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,1,fm,7,27,28,4626637,0.01,2,,,0.8666147749906259,0.9991960225908924
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,1,fm,7,27,28,4626637,0.01,3,,,0.9930762858111766,0.8484032223104216
one_pass_random_prefix,adam+sparseadam,0,evaluation,1048576,1,fm,7,27,28,4626637,0.01,3,,,0.9157656591740386,0.9762438737939733
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,1,fm,7,27,28,4626637,0.01,3,,,0.8666790239158385,0.9991960225908924
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,2,fm,7,27,28,4626637,0.01,2,,,0.9936390395906377,0.8484007977705871
one_pass_random_prefix,adam+sparseadam,0,evaluation,1048576,2,fm,7,27,28,4626637,0.01,2,,,0.9154822323778641,0.9767947292443631
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,2,fm,7,27,28,4626637,0.01,2,,,0.8661504293933001,0.9991649884810112
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,2,fm,7,27,28,4626637,0.01,3,,,0.9936320950730357,0.8484007977705871
one_pass_random_prefix,adam+sparseadam,0,evaluation,1048576,2,fm,7,27,28,4626637,0.01,3,,,0.9154006272520883,0.9767947292443631
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,2,fm,7,27,28,4626637,0.01,3,,,0.8665103747149281,0.9991649884810112
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,1,linear,0,0,1,165238,0.01,2,,,0.9931048447186138,0.8484032223104216
one_pass_random_prefix,adam+sparseadam,0,evaluation,1048576,1,linear,0,0,1,165238,0.01,2,,,0.9197603447463412,0.9762438737939733
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,1,linear,0,0,1,165238,0.01,2,,,0.8777684976500857,0.9991960225908924
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,1,linear,0,0,1,165238,0.01,3,,,0.9931048447186138,0.8484032223104216
one_pass_random_prefix,adam+sparseadam,0,evaluation,1048576,1,linear,0,0,1,165238,0.01,3,,,0.9197603447463412,0.9762438737939733
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,1,linear,0,0,1,165238,0.01,3,,,0.8777684976500857,0.9991960225908924
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,2,linear,0,0,1,165238,0.01,2,,,0.993659427026129,0.8484007977705871
one_pass_random_prefix,adam+sparseadam,0,evaluation,1048576,2,linear,0,0,1,165238,0.01,2,,,0.9196175855679857,0.9767947292443631
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,2,linear,0,0,1,165238,0.01,2,,,0.8775608659471082,0.9991649884810112
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,2,linear,0,0,1,165238,0.01,3,,,0.993659427026129,0.8484007977705871
one_pass_random_prefix,adam+sparseadam,0,evaluation,1048576,2,linear,0,0,1,165238,0.01,3,,,0.9196175855679857,0.9767947292443631
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,2,linear,0,0,1,165238,0.01,3,,,0.8775608659471082,0.9991649884810112
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,1,spectral,3,0,6,991428,0.01,2,,,1.0637232280305646,0.8484032223104216
one_pass_random_prefix,adam+sparseadam,0,evaluation,1048576,1,spectral,3,0,6,991428,0.01,2,,,0.9759254579034996,0.9762438737939733
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,1,spectral,3,0,6,991428,0.01,2,,,0.8982917410325219,0.9991960225908924
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,1,spectral,3,0,6,991428,0.01,3,,,1.0681363455557225,0.8484032223104216
one_pass_random_prefix,adam+sparseadam,0,evaluation,1048576,1,spectral,3,0,6,991428,0.01,3,,,0.9687384266637071,0.9762438737939733
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,1,spectral,3,0,6,991428,0.01,3,,,0.8952622752965015,0.9991960225908924
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,2,spectral,3,0,6,991428,0.01,2,,,1.0644244657965485,0.8484007977705871
one_pass_random_prefix,adam+sparseadam,0,evaluation,1048576,2,spectral,3,0,6,991428,0.01,2,,,0.9763217819743022,0.9767947292443631
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,2,spectral,3,0,6,991428,0.01,2,,,0.8979120747957224,0.9991649884810112
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,2,spectral,3,0,6,991428,0.01,3,,,1.0681920023491678,0.8484007977705871
one_pass_random_prefix,adam+sparseadam,0,evaluation,1048576,2,spectral,3,0,6,991428,0.01,3,,,0.9687692466406722,0.9767947292443631
one_pass_random_prefix,adam+sparseadam,0,evaluation,4194304,2,spectral,3,0,6,991428,0.01,3,,,0.895025945087405,0.9991649884810112
one_pass_random_prefix,adam+sparseadam,0,evaluation,262144,1,spectral,7,0,28,4626664,0.01,2,,,1.059397384264955,0.8484032223104216
