target_kind,complexity,target_seed,noise_std,model,dim,eig_idx,lr,init_seed,step,train_rmse,val_rmse,test_rmse,seconds
monotone,5,0,0.0,unconstrained,5,2,0.0001,0,1,1.6568129062652588,1.4850502014160156,1.495867371559143,0.014119750005193055
monotone,5,0,0.0,unconstrained,5,2,0.0001,0,2,1.3253505229949951,1.484192132949829,1.4950032234191895,0.02128374995663762
monotone,5,0,0.0,unconstrained,5,2,0.0001,0,5,1.5105127096176147,1.4816033840179443,1.4923961162567139,0.029099707957357168
monotone,5,0,0.0,unconstrained,5,2,0.0001,0,10,1.4722548723220825,1.4772547483444214,1.4880168437957764,0.03844924992881715
monotone,5,0,0.0,unconstrained,5,2,0.0001,0,20,1.317420244216919,1.4690673351287842,1.479770541191101,0.04880654194857925
monotone,5,0,0.0,unconstrained,5,2,0.0001,0,50,1.5408354997634888,1.4446961879730225,1.4552286863327026,0.06378579197917134
monotone,5,0,0.0,unconstrained,5,2,0.0001,0,100,1.3005082607269287,1.4047532081604004,1.4150097370147705,0.08224712498486042
monotone,5,0,0.0,unconstrained,5,2,0.0001,0,200,1.3481699228286743,1.3229860067367554,1.3326398134231567,0.11185837490484118
monotone,5,0,0.0,unconstrained,5,2,0.0001,1,1,0.8660829067230225,0.9175076484680176,0.9230481386184692,0.0003255419433116913
monotone,5,0,0.0,unconstrained,5,2,0.0001,1,2,1.0192248821258545,0.9167574644088745,0.9222916960716248,0.008388791931793094
monotone,5,0,0.0,unconstrained,5,2,0.0001,1,5,0.9171364903450012,0.9145339727401733,0.920050323009491,0.017073666909709573
monotone,5,0,0.0,unconstrained,5,2,0.0001,1,10,0.8824016451835632,0.9108754992485046,0.9163637161254883,0.026212166994810104
monotone,5,0,0.0,unconstrained,5,2,0.0001,1,20,0.865573525428772,0.9035818576812744,0.9090168476104736,0.036387500003911555
monotone,5,0,0.0,unconstrained,5,2,0.0001,1,50,0.9154906868934631,0.8808647990226746,0.8861271142959595,0.051179333007894456
monotone,5,0,0.0,unconstrained,5,2,0.0001,1,100,0.9019775390625,0.8439262509346008,0.8489283919334412,0.06949783291202039
monotone,5,0,0.0,unconstrained,5,2,0.0001,1,200,0.7329699397087097,0.764552652835846,0.768937885761261,0.09766558301635087
monotone,5,0,0.0,unconstrained,5,2,0.001,0,1,1.6568129062652588,1.4770783185958862,1.4878318309783936,0.0003143339417874813
monotone,5,0,0.0,unconstrained,5,2,0.001,0,2,1.3182437419891357,1.4685134887695312,1.4792051315307617,0.008732334012165666
monotone,5,0,0.0,unconstrained,5,2,0.001,0,5,1.478687047958374,1.442696213722229,1.4532043933868408,0.017558916937559843
monotone,5,0,0.0,unconstrained,5,2,0.001,0,10,1.4036070108413696,1.3995870351791382,1.409785509109497,0.026967708952724934
monotone,5,0,0.0,unconstrained,5,2,0.001,0,20,1.1973598003387451,1.319632649421692,1.3292349576950073,0.037486250046640635
monotone,5,0,0.0,unconstrained,5,2,0.001,0,50,1.17313814163208,1.0979979038238525,1.105897068977356,0.05227033398114145
monotone,5,0,0.0,unconstrained,5,2,0.001,0,100,0.754240870475769,0.795640766620636,0.8010587096214294,0.07133312500081956
monotone,5,0,0.0,unconstrained,5,2,0.001,0,200,0.3922078013420105,0.3828788101673126,0.38439345359802246,0.09985704196151346
monotone,5,0,0.0,unconstrained,5,2,0.001,1,1,0.8660829067230225,0.9106490612030029,0.9161369204521179,0.0003238749923184514
monotone,5,0,0.0,unconstrained,5,2,0.001,1,2,1.0118210315704346,0.9030609726905823,0.9084876775741577,0.008393333991989493
monotone,5,0,0.0,unconstrained,5,2,0.001,1,5,0.8881398439407349,0.880298376083374,0.8855500817298889,0.016915292013436556
monotone,5,0,0.0,unconstrained,5,2,0.001,1,10,0.8284792304039001,0.8422191143035889,0.8471919894218445,0.025901541928760707
monotone,5,0,0.0,unconstrained,5,2,0.001,1,20,0.744429349899292,0.7651504278182983,0.7695633769035339,0.035508374916389585
monotone,5,0,0.0,unconstrained,5,2,0.001,1,50,0.5891186594963074,0.543871283531189,0.5463268756866455,0.05064958392176777
monotone,5,0,0.0,unconstrained,5,2,0.001,1,100,0.4059840440750122,0.328435480594635,0.3297940790653229,0.06950187496840954
monotone,5,0,0.0,unconstrained,5,2,0.001,1,200,0.15536153316497803,0.15824517607688904,0.15969844162464142,0.09727962501347065
monotone,5,0,0.0,unconstrained,5,2,0.01,0,1,1.6568129062652588,1.3977302312850952,1.4078397750854492,0.0003932920517399907
monotone,5,0,0.0,unconstrained,5,2,0.01,0,2,1.2476141452789307,1.3138431310653687,1.323324203491211,0.009001500089652836
monotone,5,0,0.0,unconstrained,5,2,0.01,0,5,1.1682184934616089,1.0661039352416992,1.0736415386199951,0.018080542096868157
monotone,5,0,0.0,unconstrained,5,2,0.01,0,10,0.7739672660827637,0.6975769996643066,0.7017952799797058,0.027479000040329993
monotone,5,0,0.0,unconstrained,5,2,0.01,0,20,0.3102557063102722,0.26179763674736023,0.260904997587204,0.03759683307725936
monotone,5,0,0.0,unconstrained,5,2,0.01,0,50,0.1505640149116516,0.13057413697242737,0.13232040405273438,0.0527237500064075
monotone,5,0,0.0,unconstrained,5,2,0.01,0,100,0.07913872599601746,0.07919919490814209,0.08044717460870743,0.07093200006056577
monotone,5,0,0.0,unconstrained,5,2,0.01,0,200,0.053151872009038925,0.05386028811335564,0.054141175001859665,0.10009750002063811
monotone,5,0,0.0,unconstrained,5,2,0.01,1,1,0.8660829067230225,0.8395983576774597,0.8445557951927185,0.0002697500167414546
monotone,5,0,0.0,unconstrained,5,2,0.01,1,2,0.9355599880218506,0.7595702409744263,0.7639251947402954,0.008379500010050833
monotone,5,0,0.0,unconstrained,5,2,0.01,1,5,0.5901795029640198,0.5313664078712463,0.5338106155395508,0.017014000099152327
monotone,5,0,0.0,unconstrained,5,2,0.01,1,10,0.37164780497550964,0.29677268862724304,0.29835042357444763,0.025879292050376534
monotone,5,0,0.0,unconstrained,5,2,0.01,1,20,0.19490718841552734,0.16960860788822174,0.17100483179092407,0.03599341702647507
monotone,5,0,0.0,unconstrained,5,2,0.01,1,50,0.040776025503873825,0.06806229054927826,0.06850007176399231,0.04978425009176135
monotone,5,0,0.0,unconstrained,5,2,0.01,1,100,0.03387824818491936,0.03186454623937607,0.03208227828145027,0.0681074591120705
monotone,5,0,0.0,unconstrained,5,2,0.01,1,200,0.014411339536309242,0.01912715658545494,0.01917477883398533,0.09636358404532075
monotone,5,0,0.0,unconstrained,5,2,0.1,0,1,1.6568129062652588,0.6715501546859741,0.6740784049034119,0.0003028339706361294
monotone,5,0,0.0,unconstrained,5,2,0.1,0,2,0.610325276851654,0.27420052886009216,0.2719237506389618,0.00859083398245275
monotone,5,0,0.0,unconstrained,5,2,0.1,0,5,0.5234392285346985,0.44501829147338867,0.44977009296417236,0.017371958936564624
monotone,5,0,0.0,unconstrained,5,2,0.1,0,10,0.38811495900154114,0.42750421166419983,0.4286203384399414,0.026784999994561076
monotone,5,0,0.0,unconstrained,5,2,0.1,0,20,0.19623568654060364,0.22575786709785461,0.22677302360534668,0.03720437490846962
monotone,5,0,0.0,unconstrained,5,2,0.1,0,50,0.09443064779043198,0.09936873614788055,0.09953610599040985,0.051719208946451545
monotone,5,0,0.0,unconstrained,5,2,0.1,0,100,0.05206262692809105,0.05054550617933273,0.05072790011763573,0.07005429198034108
monotone,5,0,0.0,unconstrained,5,2,0.1,0,200,0.025659523904323578,0.029131866991519928,0.02928149700164795,0.09927695896476507
