protocol,optimizer,preprocessor_sample_size,preprocessor_seed,train_size,data_seed,model,preprocessing,matrix_dim,eig_idx,fm_rank,parameters_per_feature,num_parameters,lr,init_seed,train_logloss,val_logloss,val_brier,test_logloss,test_brier,elapsed_seconds
one_pass,adam,3667249,0,16384,0,linear,bucket,0,-1,0,1,1277953,0.001,0,0.6801389008760452,0.6605004821607742,0.23370360843471938,,,15.177459625061601
one_pass,adam,3667249,0,262144,0,linear,bucket,0,-1,0,1,1277953,0.001,0,0.5745429880917072,0.5310128793948642,0.17543117230748842,,,31.444307166035287
one_pass,adam,3667249,0,4194304,0,linear,bucket,0,-1,0,1,1277953,0.001,0,0.48536072130082175,0.46634497633585875,0.15156264506937714,,,69.83856549998745
one_pass,adam,3667249,0,16384,0,linear,bucket,0,-1,0,1,1277953,0.001,1,0.6801389008760452,0.6605004821607742,0.23370360843471938,,,15.447618667036295
one_pass,adam,3667249,0,262144,0,linear,bucket,0,-1,0,1,1277953,0.001,1,0.5745429880917072,0.5310128793948642,0.17543117230748842,,,31.545372875058092
one_pass,adam,3667249,0,4194304,0,linear,bucket,0,-1,0,1,1277953,0.001,1,0.48536072130082175,0.46634497633585875,0.15156264506937714,,,71.0386867079651
one_pass,adam,3667249,0,16384,0,linear,bucket,0,-1,0,1,1277953,0.01,0,0.6083969622850418,0.5525354375600531,0.18422362562971525,,,15.587397999945097
one_pass,adam,3667249,0,262144,0,linear,bucket,0,-1,0,1,1277953,0.01,0,0.5040256958454847,0.47703727191203243,0.15547050911220103,0.4821220628635422,0.15737883922738122,31.94592512503732
one_pass,adam,3667249,0,4194304,0,linear,bucket,0,-1,0,1,1277953,0.01,0,0.47018772835144773,0.46602984447586754,0.15148056023063558,0.47177636930175904,0.1535570977158962,71.12325829092879
one_pass,adam,3667249,0,16384,0,linear,bucket,0,-1,0,1,1277953,0.01,1,0.6083969622850418,0.5525354375600531,0.18422362562971525,,,15.40135866694618
one_pass,adam,3667249,0,262144,0,linear,bucket,0,-1,0,1,1277953,0.01,1,0.5040256958454847,0.47703727191203243,0.15547050911220103,0.4821220628635422,0.15737883922738122,31.92108312493656
one_pass,adam,3667249,0,4194304,0,linear,bucket,0,-1,0,1,1277953,0.01,1,0.47018772835144773,0.46602984447586754,0.15148056023063558,0.47177636930175904,0.1535570977158962,71.19075241696555
one_pass,adam,3667249,0,16384,0,linear,bucket,0,-1,0,1,1277953,0.1,0,0.754181981086731,0.5489207716389441,0.18227979465939118,0.5558220043556706,0.1847499863521165,15.228191625094041
one_pass,adam,3667249,0,262144,0,linear,bucket,0,-1,0,1,1277953,0.1,0,0.5597442090511322,0.5311720266053365,0.1707006076687202,,,31.68771591701079
one_pass,adam,3667249,0,4194304,0,linear,bucket,0,-1,0,1,1277953,0.1,0,0.5703938325168565,0.5754282726981167,0.18008101270441515,,,71.75795908400323
one_pass,adam,3667249,0,16384,0,linear,bucket,0,-1,0,1,1277953,0.1,1,0.754181981086731,0.5489207716389441,0.18227979465939118,0.5558220043556706,0.1847499863521165,15.54461237497162
one_pass,adam,3667249,0,262144,0,linear,bucket,0,-1,0,1,1277953,0.1,1,0.5597442090511322,0.5311720266053365,0.1707006076687202,,,31.345808707992546
one_pass,adam,3667249,0,4194304,0,linear,bucket,0,-1,0,1,1277953,0.1,1,0.5703938325168565,0.5754282726981167,0.18008101270441515,,,70.38627308304422
one_pass,adam,3667249,0,16384,0,linear-new,hybrid,0,-1,0,1,852024,0.001,0,0.6824177354574203,0.6658700808359639,0.2363774113871056,,,15.072724499972537
one_pass,adam,3667249,0,262144,0,linear-new,hybrid,0,-1,0,1,852024,0.001,0,0.5763283167034388,0.5261546842213912,0.17325470636754906,,,30.336290291976184
one_pass,adam,3667249,0,4194304,0,linear-new,hybrid,0,-1,0,1,852024,0.001,0,0.4851185284787789,0.4669624631498145,0.15181284547372476,,,67.23052649991587
one_pass,adam,3667249,0,16384,0,linear-new,hybrid,0,-1,0,1,852024,0.001,1,0.6824177354574203,0.6658700808359639,0.2363774113871056,,,14.426786207943223
one_pass,adam,3667249,0,262144,0,linear-new,hybrid,0,-1,0,1,852024,0.001,1,0.5763283167034388,0.5261546842213912,0.17325470636754906,,,29.96253424999304
one_pass,adam,3667249,0,4194304,0,linear-new,hybrid,0,-1,0,1,852024,0.001,1,0.4851185284787789,0.4669624631498145,0.15181284547372476,,,67.40058249991853
one_pass,adam,3667249,0,16384,0,linear-new,hybrid,0,-1,0,1,852024,0.01,0,0.614280492067337,0.542233426890576,0.17951468104285434,0.547140285691941,0.1817508975155056,15.120135374949314
one_pass,adam,3667249,0,262144,0,linear-new,hybrid,0,-1,0,1,852024,0.01,0,0.5017575826495886,0.4763160533384751,0.15526651325570287,0.481647996248205,0.15726447868659313,30.90411254193168
one_pass,adam,3667249,0,4194304,0,linear-new,hybrid,0,-1,0,1,852024,0.01,0,0.47022978906170465,0.4664350966341689,0.15165959395957773,0.4721111744744809,0.15371760984553495,67.41010579199065
one_pass,adam,3667249,0,16384,0,linear-new,hybrid,0,-1,0,1,852024,0.01,1,0.614280492067337,0.542233426890576,0.17951468104285434,0.547140285691941,0.1817508975155056,14.678670416935347
one_pass,adam,3667249,0,262144,0,linear-new,hybrid,0,-1,0,1,852024,0.01,1,0.5017575826495886,0.4763160533384751,0.15526651325570287,0.481647996248205,0.15726447868659313,30.10196554195136
one_pass,adam,3667249,0,4194304,0,linear-new,hybrid,0,-1,0,1,852024,0.01,1,0.47022978906170465,0.4664350966341689,0.15165959395957773,0.4721111744744809,0.15371760984553495,67.27822683390696
one_pass,adam,3667249,0,16384,0,linear-new,hybrid,0,-1,0,1,852024,0.1,0,0.6686334609985352,0.5752099680957192,0.18224679032007746,,,14.804658666951582
one_pass,adam,3667249,0,262144,0,linear-new,hybrid,0,-1,0,1,852024,0.1,0,0.5471581304445863,0.5293937931500149,0.17028033717551577,,,30.322117624920793
one_pass,adam,3667249,0,4194304,0,linear-new,hybrid,0,-1,0,1,852024,0.1,0,0.5638963361852802,0.5683278750008248,0.17889116914585043,,,67.90395683294628
one_pass,adam,3667249,0,16384,0,linear-new,hybrid,0,-1,0,1,852024,0.1,1,0.6686334609985352,0.5752099680957192,0.18224679032007746,,,14.571215708041564
one_pass,adam,3667249,0,262144,0,linear-new,hybrid,0,-1,0,1,852024,0.1,1,0.5471581304445863,0.5293937931500149,0.17028033717551577,,,31.09290154208429
one_pass,adam,3667249,0,4194304,0,linear-new,hybrid,0,-1,0,1,852024,0.1,1,0.5638963361852802,0.5683278750008248,0.17889116914585043,,,66.09167212503962
one_pass,adam,3667249,0,16384,0,fm,bucket,0,-1,5,6,7667713,0.001,0,0.6793383061885834,0.6592817273410859,0.23309755563171025,,,19.61460462503601
one_pass,adam,3667249,0,262144,0,fm,bucket,0,-1,5,6,7667713,0.001,0,0.5607561534270644,0.49963130047554066,0.16209479464866594,,,40.40472700004466
one_pass,adam,3667249,0,4194304,0,fm,bucket,0,-1,5,6,7667713,0.001,0,0.473017171229003,0.461345939331375,0.14971595392458553,0.46671044089432767,0.15170507739626288,101.66248016699683
