protocol,optimizer,split_seed,train_pool_size,phase,train_size,data_seed,model,dim,rank,parameters_per_identity,num_parameters,lr,init_seed,val_rmse,val_warm_fraction,test_rmse,test_warm_fraction
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.0001,7,1.0345322633390621,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.0001,7,0.9388008069397871,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.00026826957952797245,0,1.2894817102571083,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.00026826957952797245,0,1.2393762519144491,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.00026826957952797245,0,1.0930265203441236,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.00026826957952797245,0,0.9500451205686232,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.00026826957952797245,0,0.9010139793941523,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.00026826957952797245,1,1.2894817102571083,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.00026826957952797245,1,1.2393762519144491,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.00026826957952797245,1,1.0930265203441236,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.00026826957952797245,1,0.9500451205686232,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,67108864,0,linear,0,0,1,165238,0.00026826957952797245,1,0.9010139793941523,1.0,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,262144,0,linear,0,0,1,165238,0.00026826957952797245,2,1.2894817102571083,0.8564315490224732,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,1048576,0,linear,0,0,1,165238,0.00026826957952797245,2,1.2393762519144491,0.9791673885565266,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,4194304,0,linear,0,0,1,165238,0.00026826957952797245,2,1.0930265203441236,0.9992065488843725,,
repeated_shuffle,adam+sparseadam,0,15946715,tuning,16777216,0,linear,0,0,1,165238,0.00026826957952797245,2,0.9500451205686232,1.0,,
