target_kind,complexity,target_seed,noise_std,model,dim,lr,init_seed,batch_size,step,train_size,val_rmse,test_rmse
general,5,0,0.0,unconstrained,5,0.1,1,32,1,32,0.33304551243782043,0.3368685245513916
general,5,0,0.0,unconstrained,5,0.1,1,32,2,64,0.30135807394981384,0.30485618114471436
general,5,0,0.0,unconstrained,5,0.1,1,32,5,160,0.23896777629852295,0.23865017294883728
general,5,0,0.0,unconstrained,5,0.1,1,32,10,320,0.17003530263900757,0.1717916578054428
general,5,0,0.0,unconstrained,5,0.1,1,32,20,640,0.14705011248588562,0.1457216441631317
general,5,0,0.0,unconstrained,5,0.1,1,32,50,1600,0.059522952884435654,0.05903608351945877
general,5,0,0.0,unconstrained,5,0.1,1,32,100,3200,0.02357800118625164,0.02383078634738922
general,5,0,0.0,unconstrained,5,0.1,1,32,200,6400,0.004738911055028439,0.004670752212405205
monotone,5,0,0.0,unconstrained,5,0.0001,0,32,1,32,1.7771424055099487,1.7813444137573242
monotone,5,0,0.0,unconstrained,5,0.0001,0,32,2,64,1.7761296033859253,1.7803298234939575
monotone,5,0,0.0,unconstrained,5,0.0001,0,32,5,160,1.773064374923706,1.7772492170333862
monotone,5,0,0.0,unconstrained,5,0.0001,0,32,10,320,1.768006443977356,1.7721635103225708
monotone,5,0,0.0,unconstrained,5,0.0001,0,32,20,640,1.7582323551177979,1.7623437643051147
monotone,5,0,0.0,unconstrained,5,0.0001,0,32,50,1600,1.7280489206314087,1.7320805788040161
monotone,5,0,0.0,unconstrained,5,0.0001,0,32,100,3200,1.6784008741378784,1.6823654174804688
monotone,5,0,0.0,unconstrained,5,0.0001,0,32,200,6400,1.5804318189620972,1.584174394607544
monotone,5,0,0.0,unconstrained,5,0.0001,1,32,1,32,0.26974546909332275,0.2710290253162384
monotone,5,0,0.0,unconstrained,5,0.0001,1,32,2,64,0.2690473794937134,0.27032968401908875
monotone,5,0,0.0,unconstrained,5,0.0001,1,32,5,160,0.26697421073913574,0.2682536840438843
monotone,5,0,0.0,unconstrained,5,0.0001,1,32,10,320,0.2635667622089386,0.2648439407348633
monotone,5,0,0.0,unconstrained,5,0.0001,1,32,20,640,0.25694751739501953,0.25822722911834717
monotone,5,0,0.0,unconstrained,5,0.0001,1,32,50,1600,0.2378508597612381,0.23913343250751495
monotone,5,0,0.0,unconstrained,5,0.0001,1,32,100,3200,0.20921866595745087,0.21056276559829712
monotone,5,0,0.0,unconstrained,5,0.0001,1,32,200,6400,0.16752755641937256,0.16905178129673004
monotone,5,0,0.0,unconstrained,5,0.001,0,32,1,32,1.7679299116134644,1.7720630168914795
monotone,5,0,0.0,unconstrained,5,0.001,0,32,2,64,1.7578078508377075,1.7619223594665527
monotone,5,0,0.0,unconstrained,5,0.001,0,32,5,160,1.727238416671753,1.7312027215957642
monotone,5,0,0.0,unconstrained,5,0.001,0,32,10,320,1.6771665811538696,1.6808679103851318
monotone,5,0,0.0,unconstrained,5,0.001,0,32,20,640,1.5818941593170166,1.585219144821167
monotone,5,0,0.0,unconstrained,5,0.001,0,32,50,1600,1.310387372970581,1.3134208917617798
monotone,5,0,0.0,unconstrained,5,0.001,0,32,100,3200,1.0367765426635742,1.0395162105560303
monotone,5,0,0.0,unconstrained,5,0.001,0,32,200,6400,0.7542524933815002,0.7561960220336914
monotone,5,0,0.0,unconstrained,5,0.001,1,32,1,32,0.2634379267692566,0.26470619440078735
monotone,5,0,0.0,unconstrained,5,0.001,1,32,2,64,0.2565769553184509,0.2578358054161072
monotone,5,0,0.0,unconstrained,5,0.001,1,32,5,160,0.2367604821920395,0.23801782727241516
monotone,5,0,0.0,unconstrained,5,0.001,1,32,10,320,0.20637178421020508,0.20769381523132324
monotone,5,0,0.0,unconstrained,5,0.001,1,32,20,640,0.1597566306591034,0.1613467037677765
monotone,5,0,0.0,unconstrained,5,0.001,1,32,50,1600,0.11996988207101822,0.12164844572544098
monotone,5,0,0.0,unconstrained,5,0.001,1,32,100,3200,0.07705458998680115,0.07750416547060013
monotone,5,0,0.0,unconstrained,5,0.001,1,32,200,6400,0.04244513064622879,0.04268885776400566
monotone,5,0,0.0,unconstrained,5,0.01,0,32,1,32,1.6768192052841187,1.6802760362625122
monotone,5,0,0.0,unconstrained,5,0.01,0,32,2,64,1.5770972967147827,1.580422282218933
monotone,5,0,0.0,unconstrained,5,0.01,0,32,5,160,1.302318811416626,1.3049674034118652
monotone,5,0,0.0,unconstrained,5,0.01,0,32,10,320,1.029275894165039,1.031575322151184
monotone,5,0,0.0,unconstrained,5,0.01,0,32,20,640,0.7790542840957642,0.7791827917098999
monotone,5,0,0.0,unconstrained,5,0.01,0,32,50,1600,0.18800674378871918,0.18742068111896515
monotone,5,0,0.0,unconstrained,5,0.01,0,32,100,3200,0.0693666860461235,0.07008183002471924
monotone,5,0,0.0,unconstrained,5,0.01,0,32,200,6400,0.0474478155374527,0.04767664894461632
monotone,5,0,0.0,unconstrained,5,0.01,1,32,1,32,0.20616166293621063,0.20740655064582825
monotone,5,0,0.0,unconstrained,5,0.01,1,32,2,64,0.158161923289299,0.159743532538414
monotone,5,0,0.0,unconstrained,5,0.01,1,32,5,160,0.14913572371006012,0.15062332153320312
monotone,5,0,0.0,unconstrained,5,0.01,1,32,10,320,0.08776117116212845,0.08757438510656357
monotone,5,0,0.0,unconstrained,5,0.01,1,32,20,640,0.06516888737678528,0.06574614346027374
monotone,5,0,0.0,unconstrained,5,0.01,1,32,50,1600,0.017841441556811333,0.01779005117714405
monotone,5,0,0.0,unconstrained,5,0.01,1,32,100,3200,0.015182644128799438,0.01506772916764021
monotone,5,0,0.0,unconstrained,5,0.01,1,32,200,6400,0.008326779119670391,0.00826798565685749
monotone,5,0,0.0,unconstrained,5,0.1,0,32,1,32,1.1617529392242432,1.1629359722137451
monotone,5,0,0.0,unconstrained,5,0.1,0,32,2,64,1.015146017074585,1.0161571502685547
monotone,5,0,0.0,unconstrained,5,0.1,0,32,5,160,0.4843719005584717,0.48306804895401
monotone,5,0,0.0,unconstrained,5,0.1,0,32,10,320,0.5030038356781006,0.49884212017059326
monotone,5,0,0.0,unconstrained,5,0.1,0,32,20,640,0.26170843839645386,0.2566121518611908
monotone,5,0,0.0,unconstrained,5,0.1,0,32,50,1600,0.083023801445961,0.08363018929958344
monotone,5,0,0.0,unconstrained,5,0.1,0,32,100,3200,0.024485919624567032,0.024527106434106827
monotone,5,0,0.0,unconstrained,5,0.1,0,32,200,6400,0.014961161650717258,0.014870649203658104
monotone,5,0,0.0,unconstrained,5,0.1,1,32,1,32,0.28348270058631897,0.2850406765937805
monotone,5,0,0.0,unconstrained,5,0.1,1,32,2,64,0.1781770884990692,0.17897337675094604
monotone,5,0,0.0,unconstrained,5,0.1,1,32,5,160,0.13687241077423096,0.1364472657442093
monotone,5,0,0.0,unconstrained,5,0.1,1,32,10,320,0.0636046975851059,0.06427153199911118
monotone,5,0,0.0,unconstrained,5,0.1,1,32,20,640,0.07943691313266754,0.07913853228092194
monotone,5,0,0.0,unconstrained,5,0.1,1,32,50,1600,0.022617090493440628,0.022650424391031265
monotone,5,0,0.0,unconstrained,5,0.1,1,32,100,3200,0.01226693857461214,0.012324263341724873
monotone,5,0,0.0,unconstrained,5,0.1,1,32,200,6400,0.016141533851623535,0.016296077519655228
monotone,5,0,0.0,monotone,5,0.0001,0,32,1,32,0.5762189030647278,0.5781483054161072
monotone,5,0,0.0,monotone,5,0.0001,0,32,2,64,0.5760744214057922,0.5780064463615417
monotone,5,0,0.0,monotone,5,0.0001,0,32,5,160,0.5756916999816895,0.5776178240776062
monotone,5,0,0.0,monotone,5,0.0001,0,32,10,320,0.575069010257721,0.5769835114479065
monotone,5,0,0.0,monotone,5,0.0001,0,32,20,640,0.5738316178321838,0.5757371783256531
monotone,5,0,0.0,monotone,5,0.0001,0,32,50,1600,0.5697615146636963,0.5716919898986816
monotone,5,0,0.0,monotone,5,0.0001,0,32,100,3200,0.5629122257232666,0.5649158954620361
monotone,5,0,0.0,monotone,5,0.0001,0,32,200,6400,0.5497794151306152,0.5518389344215393
monotone,5,0,0.0,monotone,5,0.0001,1,32,1,32,0.6263689398765564,0.628390908241272
monotone,5,0,0.0,monotone,5,0.0001,1,32,2,64,0.6262399554252625,0.6282588839530945
monotone,5,0,0.0,monotone,5,0.0001,1,32,5,160,0.6258226037025452,0.6278414726257324
monotone,5,0,0.0,monotone,5,0.0001,1,32,10,320,0.6251019239425659,0.6271253824234009
monotone,5,0,0.0,monotone,5,0.0001,1,32,20,640,0.6236446499824524,0.6256831884384155
monotone,5,0,0.0,monotone,5,0.0001,1,32,50,1600,0.6194552779197693,0.621485710144043
monotone,5,0,0.0,monotone,5,0.0001,1,32,100,3200,0.6123520731925964,0.6144381761550903
monotone,5,0,0.0,monotone,5,0.0001,1,32,200,6400,0.5989495515823364,0.6010312438011169
monotone,5,0,0.0,monotone,5,0.001,0,32,1,32,0.5751776099205017,0.5770635008811951
monotone,5,0,0.0,monotone,5,0.001,0,32,2,64,0.5737259984016418,0.5756375193595886
monotone,5,0,0.0,monotone,5,0.001,0,32,5,160,0.5699262022972107,0.5717805624008179
monotone,5,0,0.0,monotone,5,0.001,0,32,10,320,0.5638264417648315,0.5655721426010132
monotone,5,0,0.0,monotone,5,0.001,0,32,20,640,0.551616907119751,0.5533080101013184
monotone,5,0,0.0,monotone,5,0.001,0,32,50,1600,0.5128140449523926,0.5148290395736694
monotone,5,0,0.0,monotone,5,0.001,0,32,100,3200,0.45617011189460754,0.458452433347702
monotone,5,0,0.0,monotone,5,0.001,0,32,200,6400,0.3638318181037903,0.3659648597240448
monotone,5,0,0.0,monotone,5,0.001,1,32,1,32,0.6252425312995911,0.6272290349006653
monotone,5,0,0.0,monotone,5,0.001,1,32,2,64,0.6239635348320007,0.6259200572967529
monotone,5,0,0.0,monotone,5,0.001,1,32,5,160,0.6197652816772461,0.6217297911643982
monotone,5,0,0.0,monotone,5,0.001,1,32,10,320,0.6125707030296326,0.6145871877670288
monotone,5,0,0.0,monotone,5,0.001,1,32,20,640,0.5983737111091614,0.6005377769470215
monotone,5,0,0.0,monotone,5,0.001,1,32,50,1600,0.5587988495826721,0.560822069644928
monotone,5,0,0.0,monotone,5,0.001,1,32,100,3200,0.498637855052948,0.5009615421295166
monotone,5,0,0.0,monotone,5,0.001,1,32,200,6400,0.3754448890686035,0.3770163953304291
monotone,5,0,0.0,monotone,5,0.01,0,32,1,32,0.5657005310058594,0.5671522617340088
monotone,5,0,0.0,monotone,5,0.01,0,32,2,64,0.5505784749984741,0.5522982478141785
monotone,5,0,0.0,monotone,5,0.01,0,32,5,160,0.5142319202423096,0.5155558586120605
monotone,5,0,0.0,monotone,5,0.01,0,32,10,320,0.4589444100856781,0.4597935080528259
monotone,5,0,0.0,monotone,5,0.01,0,32,20,640,0.35103341937065125,0.3529689610004425
monotone,5,0,0.0,monotone,5,0.01,0,32,50,1600,0.18559682369232178,0.18740053474903107
monotone,5,0,0.0,monotone,5,0.01,0,32,100,3200,0.1399257928133011,0.14203372597694397
monotone,5,0,0.0,monotone,5,0.01,0,32,200,6400,0.14232124388217926,0.14412567019462585
monotone,5,0,0.0,monotone,5,0.01,1,32,1,32,0.6145327687263489,0.6161693334579468
monotone,5,0,0.0,monotone,5,0.01,1,32,2,64,0.603030264377594,0.6043707728385925
monotone,5,0,0.0,monotone,5,0.01,1,32,5,160,0.5586537718772888,0.5606030225753784
monotone,5,0,0.0,monotone,5,0.01,1,32,10,320,0.49497368931770325,0.4976448714733124
monotone,5,0,0.0,monotone,5,0.01,1,32,20,640,0.3833249509334564,0.3857424855232239
monotone,5,0,0.0,monotone,5,0.01,1,32,50,1600,0.19347888231277466,0.19603699445724487
monotone,5,0,0.0,monotone,5,0.01,1,32,100,3200,0.14028897881507874,0.1422513872385025
monotone,5,0,0.0,monotone,5,0.01,1,32,200,6400,0.1366223245859146,0.13804836571216583
monotone,5,0,0.0,monotone,5,0.1,0,32,1,32,0.5530759692192078,0.5511539578437805
monotone,5,0,0.0,monotone,5,0.1,0,32,2,64,0.3526535928249359,0.35315918922424316
monotone,5,0,0.0,monotone,5,0.1,0,32,5,160,0.16284871101379395,0.16534067690372467
monotone,5,0,0.0,monotone,5,0.1,0,32,10,320,0.21422135829925537,0.21561451256275177
monotone,5,0,0.0,monotone,5,0.1,0,32,20,640,0.11768197268247604,0.11857327818870544
monotone,5,0,0.0,monotone,5,0.1,0,32,50,1600,0.056457776576280594,0.05649998039007187
monotone,5,0,0.0,monotone,5,0.1,0,32,100,3200,0.0365411713719368,0.03663238137960434
monotone,5,0,0.0,monotone,5,0.1,0,32,200,6400,0.020702317357063293,0.020762884989380836
monotone,5,0,0.0,monotone,5,0.1,1,32,1,32,0.5514497756958008,0.5503646731376648
monotone,5,0,0.0,monotone,5,0.1,1,32,2,64,0.3886435031890869,0.3892623782157898
monotone,5,0,0.0,monotone,5,0.1,1,32,5,160,0.20841215550899506,0.2112351357936859
monotone,5,0,0.0,monotone,5,0.1,1,32,10,320,0.19238166511058807,0.19389010965824127
monotone,5,0,0.0,monotone,5,0.1,1,32,20,640,0.12642723321914673,0.1269625723361969
monotone,5,0,0.0,monotone,5,0.1,1,32,50,1600,0.04277532920241356,0.0425223633646965
monotone,5,0,0.0,monotone,5,0.1,1,32,100,3200,0.03128233551979065,0.0315035805106163
monotone,5,0,0.0,monotone,5,0.1,1,32,200,6400,0.02123997174203396,0.021411430090665817
general,5,1,0.0,unconstrained,5,0.0001,0,32,1,32,0.714655876159668,0.7120752334594727
general,5,1,0.0,unconstrained,5,0.0001,0,32,2,64,0.7140989899635315,0.7115276455879211
general,5,1,0.0,unconstrained,5,0.0001,0,32,5,160,0.7123185396194458,0.7097806930541992
general,5,1,0.0,unconstrained,5,0.0001,0,32,10,320,0.7093864679336548,0.7069052457809448
general,5,1,0.0,unconstrained,5,0.0001,0,32,20,640,0.7042725086212158,0.7018897533416748
general,5,1,0.0,unconstrained,5,0.0001,0,32,50,1600,0.6895052790641785,0.6874059438705444
general,5,1,0.0,unconstrained,5,0.0001,0,32,100,3200,0.665888249874115,0.6643192172050476
general,5,1,0.0,unconstrained,5,0.0001,0,32,200,6400,0.6310266256332397,0.6304077506065369
general,5,1,0.0,unconstrained,5,0.0001,1,32,1,32,1.269490122795105,1.2739248275756836
general,5,1,0.0,unconstrained,5,0.0001,1,32,2,64,1.2687855958938599,1.2732210159301758
general,5,1,0.0,unconstrained,5,0.0001,1,32,5,160,1.2666664123535156,1.2711066007614136
general,5,1,0.0,unconstrained,5,0.0001,1,32,10,320,1.2631169557571411,1.2675719261169434
general,5,1,0.0,unconstrained,5,0.0001,1,32,20,640,1.2560193538665771,1.2605117559432983
general,5,1,0.0,unconstrained,5,0.0001,1,32,50,1600,1.2350386381149292,1.239598035812378
general,5,1,0.0,unconstrained,5,0.0001,1,32,100,3200,1.199826717376709,1.2045376300811768
general,5,1,0.0,unconstrained,5,0.0001,1,32,200,6400,1.1315726041793823,1.136415719985962
general,5,1,0.0,unconstrained,5,0.001,0,32,1,32,0.7096564769744873,0.7071401476860046
general,5,1,0.0,unconstrained,5,0.001,0,32,2,64,0.7042070031166077,0.7017858028411865
general,5,1,0.0,unconstrained,5,0.001,0,32,5,160,0.6873443722724915,0.6852720975875854
general,5,1,0.0,unconstrained,5,0.001,0,32,10,320,0.6621091961860657,0.6606477499008179
general,5,1,0.0,unconstrained,5,0.001,0,32,20,640,0.627813458442688,0.6273825168609619
general,5,1,0.0,unconstrained,5,0.001,0,32,50,1600,0.5876811742782593,0.58917635679245
general,5,1,0.0,unconstrained,5,0.001,0,32,100,3200,0.5778540968894958,0.5803511142730713
general,5,1,0.0,unconstrained,5,0.001,0,32,200,6400,0.5762689709663391,0.5788140892982483
general,5,1,0.0,unconstrained,5,0.001,1,32,1,32,1.2629244327545166,1.2674087285995483
general,5,1,0.0,unconstrained,5,0.001,1,32,2,64,1.2558962106704712,1.260388731956482
general,5,1,0.0,unconstrained,5,0.001,1,32,5,160,1.2348241806030273,1.2393584251403809
general,5,1,0.0,unconstrained,5,0.001,1,32,10,320,1.1997486352920532,1.2044131755828857
general,5,1,0.0,unconstrained,5,0.001,1,32,20,640,1.1307237148284912,1.135684609413147
general,5,1,0.0,unconstrained,5,0.001,1,32,50,1600,0.9453558325767517,0.9504891633987427
general,5,1,0.0,unconstrained,5,0.001,1,32,100,3200,0.716482400894165,0.7216803431510925
