protocol,optimizer,train_pool_size,phase,train_size,data_seed,model,dim,width,num_parameters,lr,init_seed,val_logloss,test_logloss,test_brier
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.0001,5,0.7511163114929199,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.0001,5,0.7469180513916016,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.0001,5,0.7317598951416016,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.0001,5,0.6916801279907226,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.0001,5,0.6667613288574219,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.0001,5,0.6487252664794921,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.0001,5,0.6400393608398437,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.0001,5,0.6373262561645507,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.0001,6,0.7321834926147461,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.0001,6,0.7319263867797852,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.0001,6,0.7309113302612305,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.0001,6,0.7269625256347656,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.0001,6,0.7132179945983886,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.0001,6,0.681132342956543,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.0001,6,0.6629414585571289,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.0001,6,0.6487774316101074,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.0001,6,0.6407003845214844,,
repeated_shuffle,adam,10000000,tuning,67108864,0,linear,0,0,29,0.0001,6,0.6373882167663574,,
repeated_shuffle,adam,10000000,tuning,4096,0,linear,0,0,29,0.0001,7,0.7335074224853516,,
repeated_shuffle,adam,10000000,tuning,16384,0,linear,0,0,29,0.0001,7,0.7332552434997559,,
repeated_shuffle,adam,10000000,tuning,65536,0,linear,0,0,29,0.0001,7,0.7322585764160157,,
repeated_shuffle,adam,10000000,tuning,262144,0,linear,0,0,29,0.0001,7,0.7283931024780274,,
repeated_shuffle,adam,10000000,tuning,1048576,0,linear,0,0,29,0.0001,7,0.7151276272888184,,
repeated_shuffle,adam,10000000,tuning,4194304,0,linear,0,0,29,0.0001,7,0.6841051348876953,,
repeated_shuffle,adam,10000000,tuning,8388608,0,linear,0,0,29,0.0001,7,0.665024459777832,,
repeated_shuffle,adam,10000000,tuning,16777216,0,linear,0,0,29,0.0001,7,0.6495235744628907,,
repeated_shuffle,adam,10000000,tuning,33554432,0,linear,0,0,29,0.0001,7,0.640756814666748,,
